t,disabled_mir,disabled_llvm,runtime_n,compile_time_n,size_n,hv
1,UnreachablePropagation,advanced-peeling;cgdata-for-merging;copyprop;dfa-sched;i2p-p2i-opt;loop-level-heuristics;mr-partial-inlining;tail-calls;thinlto-funcattrs,0.9973932792891846,1.5197091732860246,0.9995405465392305,0.0
2,,expand-reductions;i2p-p2i-opt;postra-machine-sink,0.9783628244506689,1.0781599215528146,1.0005484929720094,0.0
3,EnumSizeOpt;InstSimplify-after-simplifycfg,ifcvt-triangle;loop-idiom-vectorize-bytecmp;preinline;replace-with-vec-lib;spill-fusing;ssc,1.110963928964791,1.171042955927571,0.9997189489556193,0.0
4,Inline;InstSimplify-before-inline;ReferencePropagation,ifcvt-triangle-rev;loop-idiom-vectorize-bytecmp;preinline;thinlto-funcattrs,1.1020950850121416,1.2363472141234644,1.0019329541336115,0.0
5,Inline,advanced-peeling;global-outlining;machine-licm;memop-opt;mergeicmps;type-promotion,1.1993653652271559,1.1794798169276897,1.0023038393584291,0.0
6,GVN,cfi-fixup;nofree-inference;preinline,1.02926411036608,1.1799371325995287,0.9994515795783534,0.0
7,GVN,block-placement;cgp-branch-opts;copyprop;gep-const-evaluation;global-outlining;ifcvt-triangle;mergeicmps;partial-inlining;separate-const-offset-from-gep,1.1053369333577336,1.55959104527099,0.994606430854516,0.0
8,ScalarReplacementOfAggregates;UnreachableEnumBranching,constant-hoisting;demotion;gep-const-evaluation;ifcvt-triangle-rev;lftr;loop-idiom-vectorize-all;loop-idiom-vectorize-bytecmp;partial-inlining;postra-machine-sink,0.9190882747410362,1.4906488728076912,0.9982662140058823,0.0
9,EarlyOtherwiseBranch;ForceInline;JumpThreading,cgp-gc-opts;ifcvt-simple-false;loop-idiom-vectorize-bytecmp;post-ra,1.0492772555868337,1.397247138313045,0.9993362847851498,0.0
10,CopyProp;DestinationPropagation,bitcode-version-upgrade;cgp-branch-opts;constant-hoisting;nofree-inference;phi-elim-edge-splitting;ra-fsprofile-loader;strictnode-mutation;tail-calls;tail-duplicate;thinlto-funcattrs,0.9796168822138721,1.0528272675991994,0.9995275791863644,0.0
11,GVN;ReferencePropagation,cgp;lsr;partial-libcall-inlining;thinlto-funcattrs,1.111198507309036,1.213067344109908,0.9977937720723488,0.0
12,Inline;UnreachablePropagation,early-taildup;mergeicmps,1.0316166704479943,1.2642498164647598,1.0032377375529755,0.0
13,JumpThreading,ifcvt-triangle;loop-idiom-vectorize-bytecmp;machine-sink;partial-inlining,1.06878563165036,1.0469029149140234,1.0003568559157416,0.0
14,GVN;ScalarReplacementOfAggregates,cgp;cleanups;early-ifcvt;last-run-tracking;loop-level-heuristics;memop-opt;non-allocatable-phys-copy-opt,1.0635275353463964,1.320591619255104,0.9999611169225799,0.0
15,MatchBranchSimplification,branch-fold;cgp-ext-ld-promotion;cgp-select2branch;chr;cleanups;global-outlining;ifcvt-diamond;layout-fsprofile-loader;nofree-inference;postra-machine-sink;tail-duplicate,1.1210766046064877,1.0945374404837698,1.0003947722726936,0.0
16,ReferencePropagation,chr;copyprop;lftr;promote-alloca-to-vector;ra-fsprofile-loader;select-optimize;vp,0.9752799499070511,1.491998266028881,0.9982786846507606,0.0
17,JumpThreading,block-placement;copyprop;early-ifcvt;gep-const-evaluation;ifcvt-simple;machine-dce;partial-libcall-inlining;postra-machine-sink;preheader-prot;replace-with-vec-lib;whole-program-visibility,1.0804813800117916,1.863386987607868,0.9963964433745044,0.0
18,UnreachableEnumBranching,adv-copy-opt;ifcvt-simple-false;ifcvt-triangle-false;last-run-tracking;tail-calls,0.9715535277914342,1.184527611734995,0.9993240399454125,0.0
19,EnumSizeOpt,cfi-fixup;ifcvt-triangle-false;phi-elim-edge-splitting;preheader-prot;ra-fsprofile-loader,0.9831388535359321,1.1059827363293993,0.9999995074672272,0.0
20,InstSimplify-after-simplifycfg,cgdata-for-merging;cgp-delete-phis;cgp-select2branch;demotion;ifcvt-triangle-rev;lftr;memop-opt;tail-calls;vector-combine,1.1453240188896001,1.519794358876481,0.9986612138362418,0.98
21,InstSimplify-after-simplifycfg;JumpThreading,advanced-peeling;cfi-fixup;cgdata-for-merging;cleanups;ifcvt-forked-diamond;memop-opt;non-allocatable-phys-copy-opt;ondemand-mds-loading;spill-fusing;type-promotion,1.2100153323757672,1.3202786963986557,1.0004459282717,0.98
22,UnreachableEnumBranching,cgp-select2branch;expand-reductions;ifcvt-simple-false;promote-alloca-to-vector;vector-combine,1.0579595310346706,1.2947513706332607,0.9993750213139106,0.98
23,GVN;ScalarReplacementOfAggregates;UnreachableEnumBranching,auto-upgrade-debug-info;cgdata-for-merging;cgp-branch-opts;ifcvt-simple;last-run-tracking;spill-fusing,1.0867953184268917,1.3652088433489193,0.9989286457566426,0.98
24,,chr;icp;strictnode-mutation;tail-calls,0.9760039342359729,1.3066205545453897,1.0000000000000002,0.98
25,EarlyOtherwiseBranch,ifcvt-triangle-rev;layout-fsprofile-loader;memop-opt;nofree-inference;preheader-prot;ra-fsprofile-loader;replace-with-vec-lib;vp,0.9684478913164591,1.133558177031316,0.999285795623197,0.98
26,DestinationPropagation;ImpossiblePredicates,cgp-gc-opts;copyprop;i2p-p2i-opt;loop-level-heuristics;partial-inlining;separate-const-offset-from-gep,1.1171155534100397,1.5531026462176125,0.9993492493538914,0.98
27,ForceInline,2addr-hack;cgp;i2p-p2i-opt;machine-cse,1.0320428703176026,1.3003121461231681,1.0014156329623956,0.98
28,ImpossiblePredicates;InstSimplify-before-inline,advanced-peeling;chr;complex-addr-modes;ifcvt-diamond;lftr;loop-idiom-vectorize-all;sample-loader-inlining;ssc;thinlto-funcattrs,0.9863228893495917,1.2249966897195828,0.9975786573958735,0.98
29,,adv-copy-opt;cgp-select2branch;constant-hoisting;mr-partial-inlining;ondemand-mds-loading;tail-duplicate;vector-combine,1.033452583287655,1.1174625685527413,1.0000254949135015,0.98
30,,mergeicmps;partial-inlining;phi-elim-edge-splitting;whole-program-visibility,1.0102189469569902,0.9630585080898304,1.0007142219444691,0.98
31,,complex-addr-modes;demotion;icp;ifcvt-triangle-false;non-allocatable-phys-copy-opt;phi-elim-edge-splitting;separate-const-offset-from-gep;strictnode-mutation;whole-program-visibility,1.0054611113583407,1.484830875873804,1.0007142219444691,0.98
32,SingleUseConsts,block-placement;complex-addr-modes;demotion;machine-sink;memop-opt;peephole;promote-alloca-to-vector;tail-duplicate;vp,1.0021537030964889,1.4441493518249462,0.9968746516812144,0.98
33,DestinationPropagation;ReferencePropagation,cgp-ext-ld-promotion;constant-hoisting;copyprop;demotion;machine-sink;non-allocatable-phys-copy-opt;partial-inlining;preinline;strictnode-mutation;thinlto-funcattrs;vp,1.028100225471648,1.7390887319544799,0.9984189355666425,0.98
34,DestinationPropagation;GVN;ImpossiblePredicates;InstSimplify-after-simplifycfg;UnreachableEnumBranching,advanced-peeling;cgdata-for-merging;demotion;ifcvt-diamond;ifcvt-triangle-rev;loop-idiom-vectorize-all;sample-loader-inlining;type-promotion,1.2267739936183764,1.9733595230453223,0.9967012265291414,0.98
35,ForceInline,auto-upgrade-debug-info;layout-fsprofile-loader;replace-with-vec-lib;sample-loader-inlining,0.9881290495001104,1.1028926896422462,0.9993112859821192,0.98
36,CopyProp;ReferencePropagation;ScalarReplacementOfAggregates;UnreachableEnumBranching,binop-extract-shuffle;cgp-ext-ld-promotion;cgp-store-extract;chr;dfa-sched;licm-promotion;loop-idiom-vectorize-all;loop-idiom-vectorize-bytecmp;machine-cse;post-ra,0.8770245949609262,1.5853654582540488,0.9959868507897855,0.98
37,DestinationPropagation;UnreachablePropagation,constant-hoisting;dfa-sched;ifcvt-triangle-rev;licm-promotion;memop-opt;postra-machine-sink;promote-alloca-to-vector;thinlto-funcattrs,1.025570313866024,1.2765596382514695,0.9968265572242929,0.98
38,EnumSizeOpt,cgp-ext-ld-promotion;licm-promotion;preheader-prot;vp,0.9562866156014047,1.1174286619529576,0.9971573500044412,0.98
39,ImpossiblePredicates,chr;partial-inlining;postra-machine-sink,1.1043051510216906,1.146729178334194,0.9994387377767271,0.98
40,,icp;machine-cse;nofree-inference;nounwind-inference;partial-libcall-inlining;post-ra,1.0353169719016142,1.474135206130346,1.0012502319483012,1.1
41,,advanced-peeling;auto-upgrade-debug-info;ifcvt-diamond;machine-cse;mergeicmps;postra-machine-licm;postra-machine-sink;vp,1.0091216489863948,1.1467446301452917,1.0005991749876284,1.1
42,SingleUseConsts,cgp-branch-opts;memop-opt,1.0076876075558234,1.1576202022200395,0.9993112859821192,1.1
43,ForceInline,copyprop;expand-reductions;mr-partial-inlining;phi-elim-edge-splitting;preinline;tail-calls;thinlto-funcattrs,0.9939860329264257,1.5225299092652336,1.0003311318216792,1.1
44,,interleaved-load-combine;peephole,0.9975282657927869,0.9950402191715506,1.0031374749703466,1.1
45,InstSimplify-before-inline;MatchBranchSimplification,cgp;cgp-branch-opts;cgp-gc-opts;constant-hoisting;loop-idiom-vectorize-bytecmp;replace-with-vec-lib,1.1025685609937397,1.0421257828815746,0.9997058630582986,1.1
46,EnumSizeOpt;InstSimplify-before-inline,global-outlining;ifcvt-simple-false;interleaved-load-combine;non-allocatable-phys-copy-opt,1.0618520399556957,1.272882569820155,0.9986230462912364,1.1
47,,dfa-sched;global-outlining;ifcvt-triangle;machine-sink;partial-inlining;post-ra,0.9795790486242351,0.9548065010362529,0.9996428890277659,1.1
48,ReferencePropagation;UnreachableEnumBranching,last-run-tracking;machine-cse;mergeicmps;type-promotion,0.9888080131833842,1.282229813002809,0.9991192347311999,1.1
49,EnumSizeOpt;UnreachableEnumBranching;UnreachablePropagation,expand-reductions;preheader-prot,0.9343485926887063,1.2473912448840607,0.997973471288471,1.1
50,EnumSizeOpt;Inline;InstSimplify-before-inline;ScalarReplacementOfAggregates;UnreachableEnumBranching,cfi-fixup;cgp-select2branch;ifcvt-simple-false;ifcvt-triangle-false;phi-elim-edge-splitting;promote-alloca-to-vector;ra-fsprofile-loader;vector-combine,1.2447140887396497,1.8481045192741647,1.0019454856188683,1.1
51,InstSimplify-before-inline;UnreachablePropagation,cgp;chr;complex-addr-modes;early-ifcvt;ifcvt-diamond;interleaved-load-combine;lftr;loop-idiom-vectorize-all;peephole;sample-loader-inlining;thinlto-funcattrs,1.080895562177207,1.1391579630346564,1.0017170393476653,1.1
52,Inline;InstSimplify-before-inline;ScalarReplacementOfAggregates,advanced-peeling;cgp;ssc,1.0691793321240783,1.345141244284489,1.003377936859976,1.1
