t,disabled_mir,disabled_llvm,runtime_n,compile_time_n,size_n,hv
1,DeadStoreElimination-final;DestinationPropagation;EnumSizeOpt,block-placement;cgp-branch-opts;cgp-store-extract;expand-reductions;gep-const-evaluation;last-run-tracking;loop-level-heuristics;machine-cse;mergeicmps;ondemand-mds-loading;phi-elim-edge-splitting;preheader-prot;ra-fsprofile-loader;replace-with-vec-lib;tail-duplicate,0.9829922966166662,1.430573286414695,0.9945293211490556,0.0
2,DataflowConstProp;Inline,2addr-hack;bitcode-version-upgrade;cgp-gc-opts;expand-reductions;i2p-p2i-opt;ifcvt-triangle-false;last-run-tracking;licm-promotion;ondemand-mds-loading;partial-inlining;phi-elim-edge-splitting;preheader-prot;ra-fsprofile-loader;type-promotion,1.0680108511882584,1.0747657548360108,1.001930846120089,0.0
3,EnumSizeOpt,auto-upgrade-debug-info;early-ifcvt;gep-const-evaluation;global-outlining;ifcvt-diamond;loop-level-heuristics;machine-sink;mr-partial-inlining;phi-elim-edge-splitting,0.9940835948269334,1.0902060291309255,0.999667896126189,0.0
4,,advanced-peeling;cgp;cgp-select2branch;chr;ifcvt-triangle;machine-dce;partial-libcall-inlining;preinline;strictnode-mutation,1.128472689630182,1.2605287097877365,1.000930901879343,0.0
5,DeadStoreElimination-final;InstSimplify-after-simplifycfg;UnreachableEnumBranching,cgp-store-extract;constant-hoisting;interleaved-load-combine;machine-dce;post-ra;spill-fusing;strictnode-mutation,1.3275716208736772,1.8157831700297231,0.999438261276094,0.0
6,DeadStoreElimination-initial;GVN;Inline,block-placement;i2p-p2i-opt;mergeicmps;peephole;replace-with-vec-lib;sample-loader-inlining;select-optimize;ssc;strictnode-mutation,1.0186544833098514,1.3056430883072179,1.0010977567853023,0.0
7,,auto-upgrade-debug-info;cgp-gc-opts;demotion;icp;ifcvt-diamond;licm-promotion;machine-dce;non-allocatable-phys-copy-opt,0.9962207752227191,1.7147893850745595,0.998277280290369,0.0
8,CopyProp;DeadStoreElimination-initial;Inline;InstSimplify-before-inline,chr;nounwind-inference;partial-libcall-inlining;preheader-prot;select-optimize,1.0658158124472101,1.4583924547623783,1.0020479993817613,0.0
9,ForceInline;ScalarReplacementOfAggregates,binop-extract-shuffle;cleanups;global-outlining;ifcvt-forked-diamond;ifcvt-simple;loop-idiom-vectorize-all;post-ra;replace-with-vec-lib,0.8698553127499601,1.2044336380661202,0.9989289305982957,0.0
10,ImpossiblePredicates;InstSimplify-after-simplifycfg,2addr-hack;cleanups;dfa-sched;expand-reductions;gep-const-evaluation;last-run-tracking;machine-licm;machine-sink;non-allocatable-phys-copy-opt;nounwind-inference;replace-with-vec-lib;sample-loader-inlining,1.4674371155140453,1.1904528524395859,0.9980368801014005,0.0
11,ImpossiblePredicates,advanced-peeling;cgp;expand-reductions;ifcvt-triangle-false;lftr;separate-const-offset-from-gep;ssc;vector-combine,0.989855258150036,1.3368755940906332,0.9992083796861442,0.0
12,CopyProp,adv-copy-opt;copyprop;loop-level-heuristics;mergeicmps;preinline;tail-duplicate,0.983768637172478,1.495570985957639,0.9995279817020248,0.0
13,ForceInline;SingleUseConsts,auto-upgrade-debug-info;complex-addr-modes;dfa-sched;early-ifcvt;expand-reductions;gep-const-evaluation;licm-promotion;ra-fsprofile-loader;spill-fusing;strictnode-mutation,1.048435674806335,1.195454085154115,0.9970552333105468,0.0
14,DestinationPropagation;EarlyOtherwiseBranch,lsr;mergeicmps;nounwind-inference;type-promotion,0.981731560938253,1.21709276754095,0.9976289519126751,0.0
15,ForceInline,cgp-branch-opts;early-taildup;layout-fsprofile-loader;lftr;lsr;machine-dce;preinline;replace-with-vec-lib;vector-combine,0.9789794436223536,1.6210655784755268,0.99756503128865,0.0
16,,auto-upgrade-debug-info;bitcode-version-upgrade;cfi-fixup;complex-addr-modes;constant-hoisting;dfa-sched;global-outlining;i2p-p2i-opt;ifcvt-diamond;last-run-tracking;loop-idiom-vectorize-all;machine-licm;non-allocatable-phys-copy-opt;partial-inlining;ssc,1.0017905438963997,0.9885260619065829,0.99980812301224,0.0
17,,adv-copy-opt;auto-upgrade-debug-info;cgp-select2branch;cleanups;early-taildup;ifcvt-triangle;lsr;mr-partial-inlining;nofree-inference;non-allocatable-phys-copy-opt;spill-fusing;whole-program-visibility,1.0364406501571783,0.955314569809626,0.9992847244405528,0.0
18,EarlyOtherwiseBranch;InstSimplify-after-simplifycfg,block-placement;constant-hoisting;copyprop;licm-promotion;mr-partial-inlining;nofree-inference;non-allocatable-phys-copy-opt;peephole;sample-loader-inlining;vector-combine,0.9950987127061491,1.8637695456464285,0.9951573548929952,0.0
19,CopyProp;DestinationPropagation;Inline,block-placement;cfi-fixup;cgdata-for-merging;cgp-select2branch;icp;nofree-inference;post-ra;postra-machine-sink,1.149341534215444,1.6075435618076277,0.9974705111115271,0.0
20,EarlyOtherwiseBranch;ForceInline;InstSimplify-after-simplifycfg,binop-extract-shuffle;cgp-delete-phis;machine-dce;machine-licm;machine-sink;ondemand-mds-loading,1.046083183225417,1.6134922715150208,0.997324068713103,1.125
21,DestinationPropagation,auto-upgrade-debug-info;cfi-fixup;constant-hoisting;ifcvt-triangle-false;machine-licm;postra-machine-sink,0.9976367908642562,1.1154760604528267,0.9986992839028552,1.125
22,ForceInline;Inline;UnreachableEnumBranching;UnreachablePropagation,cgp;layout-fsprofile-loader;partial-inlining;postra-machine-sink;type-promotion,1.1338852362390208,1.4323573274034713,1.0026356987243106,1.125
23,CopyProp;InstSimplify-before-inline;JumpThreading;UnreachablePropagation,cgp-gc-opts;chr;loop-level-heuristics;postra-machine-licm;ra-fsprofile-loader;spill-fusing,1.1099253213555806,1.2986420983888647,0.9992722204699025,1.125
24,CopyProp;GVN;ImpossiblePredicates,interleaved-load-combine;layout-fsprofile-loader;thinlto-funcattrs,1.0958736283842268,1.4160568368317734,0.9981390719678426,1.125
25,DataflowConstProp,ifcvt-simple-false;loop-idiom-vectorize-all;partial-inlining;ssc,0.9813696580467087,1.0757413341817295,0.9995916799302564,1.125
26,DeadStoreElimination-initial,advanced-peeling;block-placement;cgp;cgp-gc-opts;dfa-sched;nofree-inference;post-ra;select-optimize;whole-program-visibility,1.0310849873233832,1.0840587485414843,0.9947073894552284,1.125
27,EnumSizeOpt;ImpossiblePredicates,cgp-select2branch;cgp-store-extract;gep-const-evaluation;last-run-tracking;loop-idiom-vectorize-bytecmp;mr-partial-inlining,1.146101746302106,1.2245577497144642,0.9986230462912364,1.125
28,DeadStoreElimination-final,advanced-peeling;constant-hoisting;early-ifcvt;i2p-p2i-opt;memop-opt;preinline;type-promotion;vp;whole-program-visibility,0.9774902258526956,1.3062079703044462,0.9995278953785539,1.125
29,InstSimplify-after-simplifycfg,cgp-branch-opts;cgp-delete-phis;i2p-p2i-opt;last-run-tracking;loop-idiom-vectorize-all;nofree-inference;phi-elim-edge-splitting;postra-machine-sink;sample-loader-inlining;tail-duplicate,1.0725197868905576,1.2076048208286243,1.0007012938099848,1.125
30,DeadStoreElimination-final;EnumSizeOpt,auto-upgrade-debug-info;branch-fold;cgp-ext-ld-promotion;last-run-tracking;machine-cse;mergeicmps;preheader-prot;vp,0.975699482939562,1.4507439759320995,1.0005473439250145,1.125
31,DestinationPropagation;GVN,dfa-sched;ifcvt-simple-false;memop-opt;replace-with-vec-lib;vector-combine,1.0607289193590257,1.4854528862996155,0.9988652190153849,1.125
32,CopyProp;DeadStoreElimination-initial;ForceInline,binop-extract-shuffle;cgp;cleanups;early-taildup;expand-reductions;gep-const-evaluation;global-outlining;machine-cse;machine-dce;non-allocatable-phys-copy-opt;post-ra;separate-const-offset-from-gep,1.0533040830232243,2.2267413807662355,1.0004704571760952,1.125
33,EnumSizeOpt,branch-fold;cfi-fixup;chr;ifcvt-triangle;licm-promotion;loop-idiom-vectorize-all;lsr;machine-sink;phi-elim-edge-splitting;postra-machine-licm;sample-loader-inlining,0.9904565407653463,1.0366181787616933,0.9970028334810382,1.125
34,InstSimplify-before-inline,icp;nofree-inference;nounwind-inference;phi-elim-edge-splitting;preinline,1.1815708083328236,1.4078770053269587,1.0004331530670474,1.125
35,DeadStoreElimination-final;GVN;MatchBranchSimplification,2addr-hack;block-placement;cgp-delete-phis;constant-hoisting;expand-reductions;ifcvt-triangle;loop-idiom-vectorize-bytecmp;memop-opt,1.1466635612711031,1.439815064007622,0.9933383872703831,1.125
36,,cgp-branch-opts;partial-inlining;preinline;whole-program-visibility,1.0046858441719482,0.941022614494929,1.0000000000000002,1.125
37,Inline;InstSimplify-after-simplifycfg,mergeicmps;ondemand-mds-loading;peephole;ssc;vp,1.1021929518238054,1.1117467665890306,1.006693615765667,1.125
38,EarlyOtherwiseBranch;ForceInline,chr;early-ifcvt;ifcvt-simple-false;ifcvt-triangle-false;last-run-tracking;lftr;loop-idiom-vectorize-bytecmp;promote-alloca-to-vector;ra-fsprofile-loader;ssc,1.01207392763629,1.3046960009765207,0.9979732289277111,1.125
39,EnumSizeOpt,binop-extract-shuffle;constant-hoisting;early-ifcvt;last-run-tracking;loop-idiom-vectorize-all;machine-sink;postra-machine-licm;preinline;vp,1.0107249254030448,1.0938624159094505,0.9991073117432957,1.125
